,STATE,2010,2011,2012,2013,2014,2015,2016,2017,NAME
0,AK,0.0026,0.0029,0.0026,0.0026,0.0024,0.0027,0.0026,0.0025,Alaska
1,AL,0.0013,0.0012,0.0011,0.001,0.0009,0.0008,0.0008,0.0008,Alabama
2,AR,0.0009,0.0012,0.0014,0.0013,0.001,0.0009,0.0008,0.0008,Arkansas
3,AZ,0.0021,0.0016,0.0017,0.0016,0.0016,0.0014,0.0014,0.0013,Arizona
4,CA,0.0033,0.0033,0.0032,0.0031,0.003,0.003,0.003,0.0034,California
5,CO,0.0031,0.003,0.0032,0.0019,0.0019,0.0018,0.0019,0.0019,Colorado
6,CT,0.0012,0.0012,0.0012,0.0012,0.0012,0.0011,0.0011,0.0009,Connecticut
7,DE,0.0011,0.0011,0.0011,0.001,0.001,0.001,0.0011,0.001,Delaware
8,FL,0.0031,0.003,0.0029,0.0024,0.0021,0.0018,0.0016,0.0015,Florida
9,GA,0.002,0.0021,0.0021,0.0017,0.0016,0.0014,0.0013,0.001,Georgia
10,HI,0.0043,0.0045,0.0045,0.0045,0.0049,0.0054,0.0055,0.0051,Hawaii
11,IA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0009,Iowa
12,ID,0.0015,0.0014,0.0012,0.0011,0.0013,0.0012,0.0013,0.0012,Idaho
13,IL,0.0011,0.0011,0.0011,0.001,0.001,0.001,0.0009,0.0008,Illinois
14,IN,0.001,0.001,0.001,0.0009,0.0009,0.0009,0.0009,0.0008,Indiana
15,KS,0.0006,0.0008,0.0009,0.0008,0.0009,0.0008,0.0007,0.0007,Kansas
16,KY,0.0015,0.0014,0.0012,0.0012,0.0012,0.001,0.001,0.0009,Kentucky
17,LA,0.0027,0.002,0.0017,0.0011,0.001,0.0009,0.0009,0.0007,Louisiana
18,MA,0.0025,0.0025,0.0026,0.0028,0.0031,0.0031,0.0029,0.0026,Massachusetts
19,MD,0.0019,0.0017,0.0016,0.0014,0.0013,0.0014,0.0013,0.0012,Maryland
20,ME,0.0018,0.0018,0.0018,0.0023,0.002,0.0018,0.0017,0.0017,Maine
21,MI,0.0013,0.0013,0.0013,0.0012,0.0012,0.0011,0.0009,0.0009,Michigan
22,MN,0.0015,0.0014,0.0014,0.0015,0.0015,0.0014,0.0013,0.0014,Minnesota
23,MO,0.0014,0.0015,0.0017,0.0015,0.0012,0.0011,0.0011,0.001,Missouri
24,MS,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0005,Mississippi
25,MT,0.0016,0.0018,0.0018,0.0019,0.0017,0.0017,0.0014,0.0015,Montana
26,NC,0.0013,0.0013,0.0014,0.0012,0.0012,0.0011,0.0009,0.0009,North Carolina
27,ND,0.0012,0.0009,0.001,0.0029,0.0017,0.0017,0.0012,0.0014,North Dakota
28,NE,0.0021,0.0019,0.002,0.0017,0.0016,0.0015,0.0014,0.0013,Nebraska
29,NH,0.0012,0.0011,0.0011,0.0011,0.001,0.0011,0.001,0.0011,New Hampshire
30,NJ,0.0016,0.0016,0.0015,0.0014,0.0013,0.0011,0.001,0.001,New Jersey
31,NM,0.0017,0.0017,0.0016,0.0013,0.0013,0.0013,0.0011,0.0012,New Mexico
32,NV,0.0041,0.0034,0.0031,0.0025,0.003,0.003,0.0025,0.0026,Nevada
33,NY,0.0034,0.0033,0.0036,0.0039,0.0041,0.0045,0.0044,0.0046,New York
34,OH,0.0011,0.0011,0.0012,0.0011,0.001,0.001,0.0009,0.0009,Ohio
35,OK,0.0014,0.0012,0.0013,0.0011,0.0011,0.001,0.001,0.0011,Oklahoma
36,OR,0.0051,0.0045,0.0041,0.0035,0.0031,0.0033,0.0032,0.0034,Oregon
37,PA,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0011,Pennsylvania
38,RI,0.0012,0.001,0.0012,0.0013,0.0011,0.0011,0.0011,0.0011,Rhode Island
39,SC,0.001,0.0011,0.001,0.0014,0.001,0.0011,0.001,0.0008,South Carolina
40,SD,0.0009,0.001,0.001,0.0013,0.001,0.0012,0.0012,0.0011,South Dakota
41,TN,0.0016,0.0014,0.0015,0.0015,0.0014,0.0014,0.0013,0.0012,Tennessee
42,TX,0.0014,0.0014,0.0013,0.0011,0.0011,0.0009,0.0008,0.0008,Texas
43,UT,0.0012,0.0011,0.0012,0.0011,0.001,0.001,0.0009,0.0009,Utah
44,VA,0.0011,0.0011,0.001,0.0009,0.0008,0.0008,0.0007,0.0007,Virginia
45,VT,0.0019,0.0018,0.0019,0.0023,0.0025,0.0024,0.0018,0.002,Vermont
46,WA,0.0034,0.003,0.003,0.0026,0.0026,0.0027,0.0029,0.0028,Washington
47,WI,0.0011,0.001,0.0011,0.0011,0.0011,0.0011,0.001,0.0009,Wisconsin
48,WV,0.0012,0.0012,0.0013,0.0012,0.0011,0.001,0.0008,0.0007,West Virginia
49,WY,0.001,0.0018,0.0031,0.0016,0.0013,0.0014,0.0015,0.0015,Wyoming
